"","date","holiday"
"897","2022-04-07","False"
"898","2022-04-08","False"
"899","2022-04-09","False"
"900","2022-04-10","False"
"901","2022-04-11","True"
"902","2022-04-12","True"
"903","2022-04-13","True"
"904","2022-04-14","True"
"905","2022-04-15","True"
"906","2022-04-16","True"
"907","2022-04-17","True"
"908","2022-04-18","True"
"909","2022-04-19","True"
"910","2022-04-20","True"
"911","2022-04-21","True"
"912","2022-04-22","True"
"913","2022-04-23","True"
"914","2022-04-24","False"
"915","2022-04-25","False"
"916","2022-04-26","False"
"917","2022-04-27","False"
"918","2022-04-28","False"
"919","2022-04-29","False"
"920","2022-04-30","False"
"921","2022-05-01","False"
"922","2022-05-02","False"
"923","2022-05-03","False"
"924","2022-05-04","False"
"925","2022-05-05","False"
"926","2022-05-06","False"
"927","2022-05-07","False"
"928","2022-05-08","False"
"929","2022-05-09","False"
"930","2022-05-10","False"
"931","2022-05-11","False"
"932","2022-05-12","False"
"933","2022-05-13","False"
"934","2022-05-14","False"
"935","2022-05-15","False"
"936","2022-05-16","False"
"937","2022-05-17","False"
"938","2022-05-18","False"
"939","2022-05-19","False"
"940","2022-05-20","False"
"941","2022-05-21","False"
"942","2022-05-22","False"
"943","2022-05-23","False"
"944","2022-05-24","False"
"945","2022-05-25","False"
"946","2022-05-26","False"
"947","2022-05-27","False"
"948","2022-05-28","False"
"949","2022-05-29","False"
"950","2022-05-30","False"
"951","2022-05-31","False"
"952","2022-06-01","False"
"953","2022-06-02","False"
"954","2022-06-03","False"
"955","2022-06-04","False"
"956","2022-06-05","False"
"957","2022-06-06","False"
"958","2022-06-07","False"
"959","2022-06-08","False"
"960","2022-06-09","False"
"961","2022-06-10","False"
"962","2022-06-11","False"
"963","2022-06-12","False"
"964","2022-06-13","False"
"965","2022-06-14","False"
"966","2022-06-15","False"
"967","2022-06-16","False"
"968","2022-06-17","False"
"969","2022-06-18","False"
"970","2022-06-19","False"
"971","2022-06-20","False"
"972","2022-06-21","False"
"973","2022-06-22","False"
"974","2022-06-23","False"
"975","2022-06-24","False"
"976","2022-06-25","False"
"977","2022-06-26","False"
"978","2022-06-27","True"
"979","2022-06-28","True"
"980","2022-06-29","True"
"981","2022-06-30","True"
"982","2022-07-01","True"
"983","2022-07-02","True"
"984","2022-07-03","True"
"985","2022-07-04","True"
"986","2022-07-05","True"
"987","2022-07-06","True"
"988","2022-07-07","True"
"989","2022-07-08","True"
"990","2022-07-09","True"
"991","2022-07-10","True"
"992","2022-07-11","True"
"993","2022-07-12","True"
"994","2022-07-13","True"
"995","2022-07-14","True"
"996","2022-07-15","True"
"997","2022-07-16","True"
"998","2022-07-17","True"
"999","2022-07-18","True"
"1000","2022-07-19","True"
"1001","2022-07-20","True"
"1002","2022-07-21","True"
"1003","2022-07-22","True"
"1004","2022-07-23","True"
"1005","2022-07-24","True"
"1006","2022-07-25","True"
